
'''
model: qwen2 and random init
trainer: huggingface
train_single_ds.py
'''



ssh://data@192.168.100.24:22/usr/bin/python3.10 -u /data/expGPT/finetune_qwen/train_single_ds.py
[2024-09-23 09:06:41,193] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2024-09-23 09:06:42.399408: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-23 09:06:42.407284: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:485] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2024-09-23 09:06:42.415925: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:8454] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2024-09-23 09:06:42.418528: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1452] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2024-09-23 09:06:42.425019: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-09-23 09:06:42.906749: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/data/.local/lib/python3.10/site-packages/transformers/deepspeed.py:24: FutureWarning: transformers.deepspeed module is deprecated and will be removed in a future version. Please import deepspeed modules directly from transformers.integrations
  warnings.warn(
/home/data/.local/lib/python3.10/site-packages/transformers/training_args.py:1539: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
<|im_end|>
{'eos_token': AddedToken("<|im_end|>", rstrip=False, lstrip=False, single_word=False, normalized=False, special=True), 'pad_token': '<|im_end|>', 'additional_special_tokens': ['<|im_start|>', '<|im_end|>']}
151643
n_vocab: 151643
Load from cache: /data/data/llm_data/pretrain_20240920.pkl
train_dataset_len: 762576
Using auto half precision backend
Currently training with a batch size of: 8
***** Running training *****
  Num examples = 762,576
  Num Epochs = 100,000
  Instantaneous batch size per device = 8
  Total train batch size (w. parallel, distributed & accumulation) = 128
  Gradient Accumulation steps = 16
  Total optimization steps = 595,700,000
  Number of trainable parameters = 494,032,768
{'loss': 128.2188, 'grad_norm': 107.57880401611328, 'learning_rate': 0.009999999983213027, 'epoch': 0.0}
{'loss': 115.2736, 'grad_norm': 101.27095794677734, 'learning_rate': 0.009999999966426053, 'epoch': 0.0}
{'loss': 115.6941, 'grad_norm': 89.8524169921875, 'learning_rate': 0.00999999994963908, 'epoch': 0.0}
{'loss': 112.8264, 'grad_norm': 96.92375183105469, 'learning_rate': 0.009999999932852107, 'epoch': 0.0}
{'loss': 103.1994, 'grad_norm': 89.05119323730469, 'learning_rate': 0.009999999916065134, 'epoch': 0.0}
{'loss': 92.1547, 'grad_norm': 69.75386810302734, 'learning_rate': 0.00999999989927816, 'epoch': 0.0}
{'loss': 105.0391, 'grad_norm': 66.83763122558594, 'learning_rate': 0.009999999882491187, 'epoch': 0.0}
{'loss': 91.7782, 'grad_norm': 76.3864517211914, 'learning_rate': 0.009999999865704214, 'epoch': 0.0}
{'loss': 74.4889, 'grad_norm': 44.20317840576172, 'learning_rate': 0.009999999848917241, 'epoch': 0.0}
{'loss': 104.0979, 'grad_norm': 39.070472717285156, 'learning_rate': 0.009999999832130268, 'epoch': 0.0}
{'loss': 78.6362, 'grad_norm': 47.763519287109375, 'learning_rate': 0.009999999815343294, 'epoch': 0.0}
{'loss': 60.8757, 'grad_norm': 22.74675941467285, 'learning_rate': 0.00999999979855632, 'epoch': 0.0}
{'loss': 101.4473, 'grad_norm': 34.99569320678711, 'learning_rate': 0.009999999781769346, 'epoch': 0.0}
{'loss': 90.011, 'grad_norm': 26.222347259521484, 'learning_rate': 0.009999999764982373, 'epoch': 0.0}
{'loss': 126.2677, 'grad_norm': 46.66470718383789, 'learning_rate': 0.0099999997481954, 'epoch': 0.0}
{'loss': 112.2861, 'grad_norm': 49.667022705078125, 'learning_rate': 0.009999999731408428, 'epoch': 0.0}
{'loss': 73.4801, 'grad_norm': 50.52531051635742, 'learning_rate': 0.009999999714621453, 'epoch': 0.0}
{'loss': 54.3541, 'grad_norm': 22.090190887451172, 'learning_rate': 0.00999999969783448, 'epoch': 0.0}
{'loss': 68.0146, 'grad_norm': 23.799524307250977, 'learning_rate': 0.009999999681047507, 'epoch': 0.0}
{'loss': 119.1619, 'grad_norm': 39.88241195678711, 'learning_rate': 0.009999999664260534, 'epoch': 0.0}
{'loss': 57.8995, 'grad_norm': 33.15256118774414, 'learning_rate': 0.009999999647473562, 'epoch': 0.0}
{'loss': 68.1979, 'grad_norm': 29.044445037841797, 'learning_rate': 0.009999999630686587, 'epoch': 0.0}
